district_id,district_name
33060,"Miami, OK"
42180,"Santa Isabel, PR"
27580,"Jayuya, PR"
44860,"Sulphur Springs, TX"
46780,"Van Wert, OH"
11620,"Ardmore, OK"
38840,"Port Clinton, OH"
11860,"Atchison, KS"
43100,"Sheboygan, WI"
30060,"Lebanon, MO"
19540,"Decatur, IN"
29060,"Laconia, NH"
18740,"Coshocton, OH"
16380,"Celina, OH"
39260,"Prineville, OR"
17660,"Coeur d'Alene, ID"
21840,"Fairfield, IA"
24700,"Greensburg, IN"
25620,"Hattiesburg, MS"
44740,"Storm Lake, IA"
23300,"Freeport, IL"
16060,"Carbondale-Marion, IL"
21140,"Elkhart-Goshen, IN"
20700,"East Stroudsburg, PA"
42820,"Selma, AL"
31980,"Marion, IN"
11180,"Ames, IA"
22420,"Flint, MI"
33180,"Middlesborough, KY"
22060,"Faribault-Northfield, MN"
26960,"Ionia, MI"
38260,"Pittsburg, KS"
43700,"Somerset, KY"
43660,"Snyder, TX"
36220,"Odessa, TX"
47620,"Warren, PA"
30280,"Lewisburg, TN"
14420,"Borger, TX"
48100,"Wauchula, FL"
36830,"Othello, WA"
45660,"Tiffin, OH"
30620,"Lima, OH"
38920,"Port Lavaca, TX"
10980,"Alpena, MI"
26540,"Huntington, IN"
45020,"Sweetwater, TX"
11660,"Arkadelphia, AR"
47080,"Vidalia, GA"
42780,"Selinsgrove, PA"
34780,"Muskogee, OK"
36420,"Oklahoma City, OK"
21980,"Fallon, NV"
43580,"Sioux City, IA-NE-SD"
10420,"Akron, OH"
23060,"Fort Wayne, IN"
15900,"Canton, IL"
11420,"Angola, IN"
14300,"Bonham, TX"
29200,"Lafayette-West Lafayette, IN"
47340,"Wabash, IN"
47660,"Warrensburg, MO"
32860,"Menomonie, WI"
20420,"Durango, CO"
25700,"Hays, KS"
22700,"Fort Dodge, IA"
49380,"Worthington, MN"
17540,"Clinton, IA"
43180,"Shelbyville, TN"
27900,"Joplin, MO"
18420,"Corinth, MS"
25580,"Hastings, NE"
11680,"Arkansas City-Winfield, KS"
39380,"Pueblo, CO"
28260,"Kearney, NE"
36840,"Ottawa, KS"
18460,"Cornelia, GA"
27100,"Jackson, MI"
37900,"Peoria, IL"
35900,"North Wilkesboro, NC"
10260,"Adjuntas, PR"
39740,"Reading, PA"
45540,"The Villages, FL"
18380,"Cordele, GA"
33580,"Mitchell, SD"
37800,"Pella, IA"
28100,"Kankakee, IL"
23140,"Frankfort, IN"
36820,"Oskaloosa, IA"
31060,"Los Alamos, NM"
16100,"Carlsbad-Artesia, NM"
27160,"Jackson, OH"
35420,"New Philadelphia-Dover, OH"
25880,"Hillsdale, MI"
