district_id,y2014,y2015,y2016
2,295831087,202434784,219771768
4,1020683299,667875328,792127528
9,198442970,109149700,152175713
12,763769780,442560754,482404779
15,94378144,49286019,56780671
17,958101594,979501886,1043411910
31,95954232,78858769,81703349
33,1011783946,969152305,1111107682
34,850425707,646002410,737447588
38,45351288,34655019,42890004
42,464158080,389583418,628548201
50,2313547433,1875716713,2142223673
53,118752316,99798077,133418430
59,333502213,199795956,321441902
60,358990168,311621844,386528311
61,1155743985,894316484,1145026249
63,1370447874,1567545620,1718609042
65,656585140,488302531,524215916
70,536808563,393742380,504349153
77,505115509,317506930,397756286
79,236738975,169192011,232132994
81,1006005560,740541977,822640382
82,355923101,361404931,456583725
84,1549783879,1187045598,1246028020
86,62773841,50770245,54910051
87,129672623,109287674,116068679
88,452179334,330970019,434905311
96,641361163,490257009,597485419
98,34985300,59762413,69270456
100,406932944,359695837,381474118
115,2253956079,2207749774,4402840909
120,324375132,208961234,198194074
121,693408227,492612338,534178747
123,1277068776,1207088130,964471775
141,495380386,433468953,739701948
160,923843733,674628485,861352577
